T,TM,Tm,SLP,H,VV,V,VM,PM2.5
23.8,30.2,17.9,1010.6,55,4.5,3.7,7.6,200.64583333333337
21.4,28,15,1015.2,55,4.2,4.4,7.6,236.82499999999996
20.9,27.7,14,1016.6,60,3.1,4.3,9.4,276.90833333333336
22.1,29,11,1016.4,44,4.3,3.7,9.4,107.625
23.1,30.2,13,1017.9,38,4.7,3.5,11.1,125.89166666666667
24.3,30.8,15,1017.1,50,4.2,6.1,14.8,181.01250000000005
24.3,31,18,1015,56,4.3,3.9,7.6,152.32083333333335
25.5,31.2,16,1016.2,43,4.8,3.9,9.4,179.11666666666667
25.9,34,15,1013.7,41,5,3,7.6,54.791666666666664
26.7,35,15,1014.9,33,5,4.1,11.1,56.458333333333336
28.2,38,14,1011,25,5.3,2,7.6,135.83333333333334
29.5,39,16,1009.9,28,5.6,3.5,7.6,122.5
26.7,35,13,1013.5,34,4.8,5.2,13,62.708333333333336
27.8,35.3,14,1013,34,5,5,11.1,21.208333333333332
28.9,36.2,23,1006.6,58,4.2,3.7,7.6,122.70833333333333
28.6,34.8,23,1011.7,57,4.3,7.8,14.8,77.20833333333333
30,37,19,1011.3,32,5.3,3.5,11.1,98.70833333333333
29.9,36.6,19,1011.5,29,5.3,4.4,9.4,123.70833333333333
29.9,37,18,1012.7,29,5.5,4.1,9.4,64.79166666666667
32.9,39,21,1010.5,30,5.6,3.1,7.6,52.333333333333336
32.6,41,21,1010.8,30,5.5,4.4,7.6,128.33333333333334
34.6,42,24,1010.4,30,6.1,4.6,11.1,0.0
35.2,43,27,1008.4,28,5.5,4.8,11.1,23.208333333333332
34.3,41,25,1006.9,31,5.3,3.7,11.1,15.166666666666666
33.4,41,21,1007,29,5.6,3.7,9.4,46.916666666666664
34.3,40,26.9,1009.3,37,5.5,3.1,7.6,133.375
33.3,40.2,26.5,1010.5,47,5.3,3.5,5.4,147.83333333333334
33.2,41,20.2,1007.4,38,5.1,5,11.1,149.58333333333334
37,43,29.5,1004.6,24,6.3,6.9,14.8,101.95833333333333
34.2,42.7,25.5,1002.4,43,5.1,7,18.3,95.83333333333333
34.3,41,27,1002.8,43,5.8,5.2,14.8,38.666666666666664
28.9,37.2,23.9,1005.6,62,5.3,9.3,14.8,66.08333333333333
27.8,33.5,20.5,1005.2,73,5,5.9,11.1,77.66666666666667
28.2,34.6,24.4,1002.9,72,4.8,5.7,13,70.25
29,34,23.8,1004.8,66,5.1,7.6,11.1,97.29166666666667
27.9,33,22.9,1002.4,74,4.5,12.6,24.1,49.416666666666664
26.3,32.4,23.2,1004.3,81,4.7,7.6,18.3,35.208333333333336
28.1,32,23.1,1002.9,74,5.3,9.6,18.3,70.58333333333333
27.8,34,23.7,1004,73,5,10.6,18.3,26.583333333333332
28.8,33.8,24.6,1005,68,5.3,7.4,14.8,35.375
24.4,32.8,22.1,1006.1,93,3.5,4.8,18.3,31.916666666666668
26,29.2,21.9,1008.9,82,5.1,4.3,11.1,26.833333333333332
23.8,26.1,21.9,1001.8,95,3.4,9.6,18.3,35.708333333333336
27,31,20.7,1002.5,74,5.1,8,18.3,46.041666666666664
25.9,31.8,22.5,1001.8,88,4.3,8.3,18.3,82.875
28.6,32,22.8,1007.7,77,5.5,6.9,13,34.416666666666664
28.8,33,23.3,1006.3,77,5.3,5.6,13,30.625
28.8,33.3,24.2,1005.8,80,4.8,7,11.1,0.0
26.5,33,23.5,1006.1,86,4.2,3.7,9.4,43.958333333333336
26.8,33.8,22.5,1007.5,87,3.5,7,18.3,26.666666666666668
27.4,31,22.6,1005.7,83,4,3,9.4,61.708333333333336
27.6,33,21.3,1006,82,4.3,3.1,9.4,80.04166666666667
26.2,33,18,1006.9,67,4.8,4.1,9.4,126.16666666666667
27.7,32.8,21,1013.1,66,4.7,5.4,13,245.66666666666666
24,30.6,15.6,1012.2,60,4.5,6.3,14.8,217.375
25.2,31.6,17.5,1012.3,61,5.1,3.3,9.4,278.0
23.5,31.8,16.6,1014,62,5,2.6,9.4,110.0
